method,entropy_with_missing,entropy_without_missing,k
random_family,1.292743069481142,0.7426472307194807,280
mmdp,1.326759225880606,0.8056977138727355,280
random_genus,1.290138546997222,0.7539542239318974,280
random,1.2821095473402893,0.7307549131465907,285
mdp,1.3653177517720756,0.8292493963069834,260
mmdp,1.325049226719764,0.8057665967416426,285
random_family,1.2949215546401212,0.7427025534135783,285
random_genus,1.2931572543760956,0.7531186452361782,285
random,1.2799694842621931,0.7307007623752628,290
mdp,1.368823308340652,0.8301070500953885,265
mmdp,1.3254944892426572,0.8062323784622517,290
random_family,1.297590603783012,0.7432712517551803,290
random_genus,1.2940570492720793,0.7498649416244803,290
random,1.2783048522894958,0.7340572949868449,295
mdp,1.369627428767609,0.8298355926143568,270
random_family,1.293906423902045,0.7446509080502304,295
mmdp,1.324194792930122,0.8065211622722315,295
random_genus,1.2905369250043477,0.7512514218636456,295
random,1.2817875825723901,0.733088724539276,300
mdp,1.369879211342801,0.8303690146924692,275
mmdp,1.3233218947573,0.8062877602789665,300
random_family,1.2917918465513982,0.745634222857548,300
random_genus,1.2917069192552029,0.753229778354571,300
random,1.2787496047256381,0.7293523009708178,305
mdp,1.3714556690163142,0.8308786047673613,280
mmdp,1.3218641902313797,0.8059744402589684,305
