method,run,entropy_with_missing,entropy_without_missing,fvi,mpd,fvo,k
random,1,1.0934688574590044,0.6751338902217107,0.9401913875598086,8.319990932312425,0.6345670579284528,20
random,2,1.173984642682269,0.6426894688082002,0.916267942583732,8.371037939996098,0.6416525634605338,20
random,3,1.1360813619856354,0.6179210699266688,0.9090909090909091,8.043032118674764,0.6716012582332309,20
random,4,1.1684523987914137,0.6713062410586604,0.937799043062201,8.445192525229482,0.6310642841826308,20
random,5,1.1395199671028688,0.6378576704881778,0.916267942583732,8.181060735929456,0.6367717279476466,20
random,6,1.1370120078161745,0.6360611788190902,0.9090909090909091,8.003615083098335,0.673826866235561,20
random,7,1.0642472018922757,0.6417103064902218,0.9234449760765551,8.139758176551162,0.661903508626657,20
random,8,1.1261214752427982,0.6513804800808541,0.9282296650717703,8.183088860940384,0.659185924091287,20
random,9,1.18201780858131,0.6603684943412228,0.9258373205741627,8.38464221933002,0.6470883705309073,20
mmdp,0,1.3443567514496695,0.7484026215611953,0.9497607655502392,9.309925069900977,0.5545550456015029,20
random_genus,0,1.1950551325528442,0.6503872757730851,0.9066985645933014,8.27021031177532,0.6445420790523506,15
random_genus,1,1.1858188347799365,0.6389014817661878,0.8947368421052632,8.400684519842702,0.6267646628224296,15
random_genus,2,1.1103579988565482,0.681358296987265,0.9258373205741627,8.522590001423483,0.6371800350316296,15
random_genus,3,1.172209180854385,0.6757458937006349,0.9210526315789473,8.561965930772095,0.6191404398575229,15
random_genus,4,1.1128296809472076,0.6433867925302609,0.9090909090909091,8.303803593875378,0.6439737208173586,15
random_genus,5,1.1196143529013598,0.6834753994949032,0.9282296650717703,8.493909309660129,0.6316072645670298,15
random_genus,6,1.1852818445228317,0.6320534042828617,0.8995215311004785,8.376096800325415,0.6247647883237812,15
random_genus,7,1.127942905016288,0.6177733150905603,0.8995215311004785,8.172155099121941,0.6518622308354545,15
random_genus,8,1.1567125163076533,0.6442528646549175,0.8923444976076556,8.447741797193089,0.6358492873835948,15
random_genus,9,1.2048783022539875,0.6653399763897297,0.9114832535885168,8.640555140787727,0.6134412637439683,15
random_family,0,1.1942629328260768,0.6824814200442021,0.9425837320574163,8.440036608301925,0.6411984236218753,20
